objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,1 Arriving in Seneca NY.jpg,,,Arriving to the Seneca Resort and Casino in Seneca NY,"Hartline, Cassie",2025-04-05,Arriving to the Seneca Resort and Casino in Seneca NY,Seneca Resort NY,Seneca NY,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,2 First View.jpg,,,The view walking into Niagara Falls State Park,"Hartline, Cassie",2025-04-06,The view walking into Niagara Falls State Park,Niagara Fall ,Niagara Falls State Park,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,2 Niagara Falls State Park.jpg,,,Entry to Niagara Falls State Park,"Hartline, Cassie",2025-04-06,Entring the Niagara Falls State Park,Niagara Falls State Park,Niagara Falls State Park,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,3 Water Niagara Falls.jpg,,,View of the water,"Hartline, Cassie",2025-04-06,View of water entering Niagara Falls State Park,Niagara Fall ,Niagara Falls State Park,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,4 Beautiful View Niagara Falls American Side.jpg,,,Beautiful view from the United States side of Niagara Falls,"Hartline, Cassie",2025-04-06,View of the water from the United States side of Niagara Falls,Niagara Fall ,Niagara Falls ,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,5 Entering Canada.jpg,,,Approaching the Canadian border,"Hartline, Cassie",2025-04-06,Walking across the bridge to cross the Canadian border,Canadian border,Niagara Falls; Canada,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,6 Frozen Niagara Falls.jpg,,,View of  a frozen section of Niagara Falls,"Hartline, Cassie",2025-04-06,View of  a frozen section of Niagara Falls,Niagara Fall ,Niagara Fall ,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,7 Hard Rock Niagara Falls.jpg,,,Canadian Hard Rock Cafe in Niagara Falls,"Hartline, Cassie",2025-04-06,Canadian Hard Rock Cafe in Niagara Falls,Hard Rock Cafe,Hard Rock Cafe; Canada,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,8 Niagara Falls From Canada Side.jpg,,,View of the Niagara Falls from the Canadian side,"Hartline, Cassie",2025-04-06,View of the Niagara Falls from the Canadian side,Niagara Fall ,Niagara Fall ,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,9 View of Hotel From Canada.jpg,,,Seneca Resort in the distance across the border,"Hartline, Cassie",2025-04-06,Seneca Resort in the distance across the border,Niagara Fall; Seneca Resort NY,Niagara Fall; Seneca Resort NY,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,Back to the States.jpg,,,Crossing the border line to reenter the United States,"Hartline, Cassie",2025-04-06,Crossing the border line to reenter the United States,United States border,United States,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,United States Border.jpg,,,Passing the line to cross the border back to the United States,"Hartline, Cassie",2025-04-06,Passing the line to cross the border back to the United States,United States border,United States; Canada,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,United States-Canada Line.jpg,,,Officially crossing the border,"Hartline, Cassie",2025-04-06,Officially crossing the border to reenter the United States,United States border,United States,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/